date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:02	1219/1219	---M--	200	added ('OK')	text/xml	etag:%224c3-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/refentry.generate.name.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/refentry.generate.name.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:02	1221/1221	---M--	200	added ('OK')	text/xml	etag:%224c5-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/toc.hide.show.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/toc.hide.show.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:02	1223/1223	---M--	200	added ('OK')	text/xml	etag:%224c7-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/annotation.js.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/annotation.js.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:02	1224/1224	---M--	200	added ('OK')	text/xml	etag:%224c8-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/index.preferred.page.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/index.preferred.page.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:03	1228/1228	---M--	200	added ('OK')	text/xml	etag:%224cc-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/speakernote.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/speakernote.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:03	1231/1231	---M--	200	added ('OK')	text/xml	etag:%224cf-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/l10n.gentext.language.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/l10n.gentext.language.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:04	1232/1232	---M--	200	added ('OK')	text/xml	etag:%224d0-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/refentry.generate.title.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/refentry.generate.title.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:04	1233/1233	---M--	200	added ('OK')	text/xml	etag:%224d1-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/component.titlepage.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/component.titlepage.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:04	1234/1234	---M--	200	added ('OK')	text/xml	etag:%224d2-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/body.end.indent.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/body.end.indent.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:04	1240/1240	---M--	200	added ('OK')	text/xml	etag:%224d8-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/callout.unicode.number.limit.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/callout.unicode.number.limit.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
